Item,Min Dimension (cm),Max Dimension (cm),Medium Dimension(cm)
oreo_mega_stuf,5.25,17.5,5.25
champion_copper_plus_spark_plug,2.5,9.6,2.6
expo_dry_erase_board_eraser,3.5,13.1,5.5
genuine_joe_plastic_stir_sticks,9.7,14.5,9.7
munchkin_white_hot_duck_bath_toy,7,16,7
crayola_64_ct,3.8,14.5,3.8
mommys_helper_outlet_plugs,5.1,19.2,5.1
sharpie_accent_tank_style_highlighters,2,12.1,11.5
stanley_66_052,2,19.5,10
safety_works_safety_glasses,4,24,10
cheezit_big_original,6,22.8,6
paper_mate_12_count_mirado_black_warrior,1.7,10.4,5
feline_greenies_dental_treats,5,21,5
elmers_washable_no_run_school_glue,3,14.6,6
mead_index_cards,2,12.8,8
rollodex_mesh_collection_jumbo_pencil_cup,8.4,13.8,8.4
first_years_take_and_toss_straw_cup,9,20.5,9
highland_6539_self_stick_notes,4,11.5,5
mark_twain_huckleberry_finn,1.5,20.4,13
kygen_squeakin_eggs_plush_puppies,6,15.5,6
kong_sitting_frog_dog_toy,4,24,4
kong_air_dog_squeakair_tennis_ball,6,19,6
dr_browns_bottle_brush,6,30.5,6
kong_duck_dog_toy,5,20,5
laugh_out_loud_joke_book,0.8,17.8,11
